Id,Label,tipo,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,nodecolor-multimode,X,Y,Size,Color
7de090bcfd8adf6c87b7f4ce9f19ed9c,,User,7,10,17,8,0.21191,0.230139,0,1,136,blue,-391.317108,173.353195,10,"#000000"
8299036aa7598ad545ee4372fab22535,,User,8,9,17,8,0.21191,0.230139,0,1,136,blue,-254.800156,-108.80983,10,"#000000"
b3e9d58612364764aecdba60e5f7d147,,User,9,8,17,8,0.21191,0.230139,0,1,136,blue,74.964882,14.312425,10,"#000000"
c85d17e6cbfabb44fe1fa9b2bd2e9f17,,User,10,7,17,8,0.21191,0.230139,0,1,136,blue,-393.096649,-341.166199,10,"#000000"
cb1aeb727ac26b7dc51ac4115e84f147,,User,11,6,17,8,0.21191,0.230139,0,1,136,blue,-472.1604,467.223572,10,"#000000"
cfddc9c492f0f670fc3d8bea745c8248,,User,12,5,17,8,0.21191,0.230139,0,1,136,blue,444.462311,171.657272,10,"#000000"
dbc327a75d4d9eaf31c1775d8f70b90f,,User,13,4,17,8,0.21191,0.230139,0,1,136,blue,-201.961304,-375.185272,10,"#000000"
de379efa4bd6fd7654088482d05148da,,User,14,3,17,8,0.21191,0.230139,0,1,136,blue,-132.302521,-38.075089,10,"#000000"
ed44188b261efc9c2d125036c1549271,,User,15,2,17,8,0.21191,0.230139,0,1,136,blue,-106.902794,17.002062,10,"#000000"
ee9ce0b576334cbde98e8f668737f2b6,,User,16,1,17,8,0.21191,0.230139,0,1,136,blue,457.466583,225.317245,10,"#000000"
f88a358ee9137ce06eb25e214747b2ae,,User,17,0,17,8,0.21191,0.230139,0,1,136,blue,34.582066,-487.989502,10,"#000000"
018f88ef194e023bdbccadb62fa591e1,,User,0,7,7,7,0.220055,0.230194,0,1,21,red,441.08078,492.767029,10,"#000000"
32680eb05b0d44fc0b30aae9fbf15688,,User,1,6,7,7,0.220055,0.230194,0,1,21,red,287.072601,236.71489,10,"#000000"
3ca53608016ddff1a709cd7478d3827d,,User,2,5,7,7,0.220055,0.230194,0,1,21,red,-412.582184,-205.204544,10,"#000000"
44c8b21616d033c9fc5b559fd4dfb7d6,,User,3,4,7,7,0.220055,0.230194,0,1,21,red,-297.004364,250.116867,10,"#000000"
7cbaf3d47f8ee0a6f6eca9ec6890e62e,,User,4,16,20,6,0.281852,0.302025,5733,0.589474,112,blue,211.167023,-337.868835,10,"#000000"
86d379ee9e2db8c9ae879b716ac147b5,,User,5,2,7,7,0.220055,0.230194,0,1,21,red,158.394989,-443.584961,10,"#000000"
c33bbd1f0cc8088e54acf33556506605,,User,6,1,7,7,0.220055,0.230194,0,1,21,red,192.242828,-450.445404,10,"#000000"
e3ed0996e1761c350794729d38d3f14e,,User,7,13,20,6,0.281852,0.302025,5733,0.589474,112,blue,86.941078,-72.086594,10,"#000000"
01ba70c85171d6bcab24861f3a402b37,,User,2,12,14,6,0.281603,0.300461,0,1,91,blue,214.253876,44.328171,10,"#000000"
07886446c247183e3a7bf03d01c3a73a,,User,3,11,14,6,0.281603,0.300461,0,1,91,blue,132.962921,-76.947433,10,"#000000"
